frame.number,frame.time_epoch,ip.src,ip.dst,_ws.col.protocol,frame.len,data.text
1,1748262912.366214000,,,ICMPv6,92,
2,1748262912.366232000,,,ICMPv6,92,
3,1748262912.927969000,,,ICMPv6,116,
4,1748262913.118912000,,,ICMPv6,136,
5,1748262913.147371000,,,ARP,48,
6,1748262913.147574000,,,ARP,48,
7,1748262913.147624000,,,ARP,48,
8,1748262913.152369000,,,ARP,48,
9,1748262913.376442000,,,ICMPv6,156,
10,1748262913.376596000,,,ICMPv6,136,
11,1748262913.380709000,,,ICMPv6,96,
12,1748262913.380898000,,,ICMPv6,96,
13,1748262913.437467000,,,ICMPv6,96,
14,1748262913.544155000,,,ICMPv6,136,
15,1748262913.950630000,,,ICMPv6,96,
16,1748262914.147069000,,,ARP,48,
17,1748262914.148992000,,,ARP,48,
18,1748262914.149030000,,,ARP,48,
19,1748262914.152913000,,,ARP,48,
20,1748262914.222240000,127.0.0.1,127.0.0.11,DNS,74,
21,1748262914.222311000,127.0.0.1,127.0.0.11,DNS,74,
22,1748262914.223014000,127.0.0.11,127.0.0.1,DNS,98,
23,1748262914.223051000,127.0.0.11,127.0.0.1,DNS,74,
24,1748262914.223588000,,,ARP,48,
25,1748262914.223607000,,,ARP,48,
26,1748262914.223619000,,,ARP,48,
27,1748262914.223620000,172.22.0.3,172.22.0.2,TCP,80,
28,1748262914.223678000,172.22.0.2,172.22.0.3,TCP,80,
29,1748262914.223692000,172.22.0.3,172.22.0.2,TCP,72,
30,1748262914.223777000,172.22.0.3,172.22.0.2,HTTP,162,
31,1748262914.223790000,172.22.0.2,172.22.0.3,TCP,72,
32,1748262914.223889000,,,ARP,48,
33,1748262914.227869000,172.22.0.2,172.22.0.3,TCP,258,
34,1748262914.227882000,172.22.0.3,172.22.0.2,TCP,72,
35,1748262914.227998000,172.22.0.3,172.22.0.2,TCP,72,
36,1748262914.228014000,172.22.0.2,172.22.0.3,HTTP,407,
37,1748262914.228055000,172.22.0.3,172.22.0.2,TCP,60,
38,1748262914.334261000,,,ICMPv6,156,
39,1748262915.249858000,127.0.0.1,127.0.0.11,DNS,77,
40,1748262915.249873000,127.0.0.1,127.0.0.11,DNS,77,
41,1748262915.272895000,127.0.0.11,127.0.0.1,DNS,245,
42,1748262915.273656000,127.0.0.11,127.0.0.1,DNS,173,
43,1748262915.274975000,,,ARP,48,
44,1748262915.275017000,,,ARP,48,
45,1748262915.275020000,,,ARP,48,
46,1748262915.275024000,,,ARP,48,
47,1748262915.275025000,172.22.0.3,23.215.0.136,TCP,80,
48,1748262915.375381000,23.215.0.136,172.22.0.3,TCP,80,
49,1748262915.375488000,172.22.0.3,23.215.0.136,TCP,72,
50,1748262915.376005000,172.22.0.3,23.215.0.136,HTTP,147,
51,1748262915.377908000,23.215.0.136,172.22.0.3,TCP,72,
52,1748262915.482532000,23.215.0.136,172.22.0.3,TCP,1520,
53,1748262915.482584000,172.22.0.3,23.215.0.136,TCP,72,
54,1748262915.482586000,23.215.0.136,172.22.0.3,HTTP,142,
55,1748262915.482595000,172.22.0.3,23.215.0.136,TCP,72,
56,1748262915.483106000,172.22.0.3,23.215.0.136,TCP,72,
57,1748262915.484557000,23.215.0.136,172.22.0.3,TCP,72,
58,1748262915.586420000,23.215.0.136,172.22.0.3,TCP,72,
59,1748262915.586500000,172.22.0.3,23.215.0.136,TCP,72,
60,1748262919.710494000,,,ARP,48,
61,1748262919.710504000,,,ARP,48,
62,1748262920.735783000,,,ARP,48,
63,1748262920.735840000,,,ARP,48,
